2023-04-01 19:08:46,602 INFO : schoolmistress logged in successfully
2023-04-01 19:38:43,325 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [455.0234375, 577.5]}
2023-04-01 19:38:43,328 INFO : Highlight: {'count': 15}
2023-04-01 19:38:43,331 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [1424.015625, 620]}
2023-04-01 19:38:43,344 INFO : Highlight: {'top_left': [17, 590.5], 'bottom_right': [1438.40625, 662.5]}
2023-04-01 19:38:43,349 INFO : Highlight: {'top_left': [17, 675.5], 'bottom_right': [601.1640625, 705]}
2023-04-01 19:38:43,354 INFO : Highlight: {'count': 19}
2023-04-01 19:38:50,468 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1113.3125, 30]}
2023-04-01 19:38:50,471 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [350.0078125, 30]}
2023-04-01 19:38:50,482 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,485 INFO : Highlight: {'top_left': [354.7578125, 0.5], 'bottom_right': [709.6484375, 30]}
2023-04-01 19:38:50,494 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,502 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1381.484375, 131]}
2023-04-01 19:38:50,514 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,519 INFO : Highlight: {'top_left': [17, 101.5], 'bottom_right': [1440.4375, 173.5]}
2023-04-01 19:38:50,526 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,530 INFO : Highlight: {'top_left': [17, 144], 'bottom_right': [1407.71875, 216]}
2023-04-01 19:38:50,537 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,543 INFO : Highlight: {'top_left': [95.4296875, 186.5], 'bottom_right': [1241.1328125, 216]}
2023-04-01 19:38:50,550 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,554 INFO : Highlight: {'top_left': [17, 186.5], 'bottom_right': [1453.9375, 301]}
2023-04-01 19:38:50,562 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,568 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1452.84375, 343.5]}
2023-04-01 19:38:50,576 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:50,581 INFO : Highlight: {'top_left': [17, 372.5], 'bottom_right': [1110.6875, 402]}
2023-04-01 19:38:50,593 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1381.484375, 131]}
2023-04-01 19:38:50,598 INFO : Highlight: {'count': 9}
2023-04-01 19:38:50,606 INFO : Highlight: {'top_left': [17, 101.5], 'bottom_right': [1440.4375, 173.5]}
